tick,agent_id,is_activated,rank
25,10000027,False,0
25,10000028,False,0
25,10000029,False,0
25,10000030,False,0
25,10000031,False,0
25,10000032,False,0
25,10000033,False,0
25,10000034,False,0
25,10000035,False,0
26,10000020,False,0
26,10000021,False,0
26,10000022,False,0
26,10000023,False,0
26,10000024,False,0
26,10000025,False,0
26,10000026,False,0
26,10000027,False,0
26,10000028,False,0
26,10000029,False,0
26,10000030,False,0
26,10000031,False,0
26,10000032,False,0
26,10000033,False,0
26,10000034,False,0
26,10000035,False,0
27,10000020,False,0
27,10000021,False,0
27,10000022,False,0
27,10000023,False,0
27,10000024,False,0
27,10000025,False,0
27,10000026,False,0
27,10000027,False,0
27,10000028,False,0
27,10000029,False,0
27,10000030,False,0
27,10000031,False,0
27,10000032,False,0
27,10000033,False,0
27,10000034,False,0
27,10000035,False,0
28,10000020,False,0
28,10000021,False,0
28,10000022,False,0
28,10000023,False,0
28,10000024,False,0
28,10000025,False,0
