tick,x,y,rank,agent_type
10,5,6,0,3
10,14,11,0,3
10,10,6,0,3
10,15,7,0,3
10,6,17,0,3
10,5,4,0,3
10,14,12,0,3
10,0,1,0,4
10,7,16,0,4
10,8,15,0,4
10,6,4,0,4
10,15,17,0,4
10,1,1,0,4
10,13,6,0,4
10,11,3,0,4
10,17,9,0,4
10,17,15,0,4
10,14,4,0,4
10,15,1,0,4
10,11,8,0,4
10,19,3,0,4
10,18,1,0,4
10,12,11,0,4
10,17,5,0,4
10,18,13,0,4
10,17,3,0,4
10,15,18,0,4
10,0,7,0,4
10,12,2,0,4
10,10,12,0,4
10,9,19,0,4
10,3,9,0,4
10,0,8,0,4
10,18,12,0,4
10,6,19,0,4
10,0,9,0,4
10,16,15,0,4
10,8,10,0,4
10,4,15,0,4
10,1,8,0,4
10,5,14,0,4
10,14,14,0,4
10,18,18,0,4
10,3,2,0,4
10,2,14,0,4
10,19,18,0,4
10,2,17,0,4
10,1,19,0,4
10,7,2,0,4
10,10,19,0,4
10,4,9,0,4
10,17,16,0,4
10,2,18,0,4
10,19,5,0,4
10,13,8,0,4
10,13,0,0,4
10,16,14,0,4
10,3,12,0,4
10,10,0,0,4
11,12,10,0,0
11,6,0,0,0
11,0,3,0,0
11,12,18,0,0
11,12,19,0,0
11,11,18,0,0
11,16,13,0,0
11,7,17,0,0
11,0,15,0,0
11,16,3,0,0
11,17,0,0,0
11,1,5,0,0
11,8,8,0,0
11,0,2,0,0
11,13,10,0,0
11,5,12,0,0
11,7,9,0,0
11,16,19,0,0
11,13,19,0,0
11,14,7,0,0
11,17,2,0,3
11,11,14,0,3
11,16,10,0,3
11,7,6,0,3
11,8,9,0,3
11,14,17,0,3
11,1,18,0,3
11,10,7,0,3
11,13,11,0,3
11,5,6,0,3
11,14,11,0,3
11,10,6,0,3
11,15,7,0,3
11,6,17,0,3
11,5,4,0,3
11,14,12,0,3
11,0,1,0,4
11,7,16,0,4
11,8,15,0,4
11,6,4,0,4
11,15,17,0,4
11,1,1,0,4
11,13,6,0,4
11,11,3,0,4
11,17,9,0,4
11,17,15,0,4
11,14,4,0,4
11,15,1,0,4
11,11,8,0,4
11,19,3,0,4
11,18,1,0,4
11,12,11,0,4
11,17,5,0,4
11,18,13,0,4
11,17,3,0,4
11,15,18,0,4
11,0,7,0,4
11,12,2,0,4
11,10,12,0,4
11,9,19,0,4
11,3,9,0,4
11,0,8,0,4
11,18,12,0,4
11,6,19,0,4
11,0,9,0,4
11,16,15,0,4
11,8,10,0,4
11,4,15,0,4
11,1,8,0,4
11,5,14,0,4
11,14,14,0,4
11,18,18,0,4
11,3,2,0,4
11,2,14,0,4
11,19,18,0,4
11,2,17,0,4
11,1,19,0,4
11,7,2,0,4
11,10,19,0,4
11,4,9,0,4
11,17,16,0,4
11,2,18,0,4
11,19,5,0,4
11,13,8,0,4
11,13,0,0,4
11,16,14,0,4
11,3,12,0,4
11,10,0,0,4
12,12,10,0,0
12,6,0,0,0
12,0,3,0,0
12,12,18,0,0
12,12,19,0,0
12,11,18,0,0
12,16,13,0,0
12,7,17,0,0
12,0,15,0,0
12,16,3,0,0
12,17,0,0,0
12,1,5,0,0
12,8,8,0,0
12,0,2,0,0
12,13,10,0,0
12,5,12,0,0
12,7,9,0,0
12,16,19,0,0
12,13,19,0,0
12,14,7,0,0
12,17,2,0,3
12,11,14,0,3
12,16,10,0,3
12,7,6,0,3
12,8,9,0,3
12,14,17,0,3
12,1,18,0,3
12,10,7,0,3
12,13,11,0,3
12,5,6,0,3
12,14,11,0,3
12,10,6,0,3
12,15,7,0,3
12,6,17,0,3
12,5,4,0,3
12,14,12,0,3
12,0,1,0,4
12,7,16,0,4
12,8,15,0,4
12,6,4,0,4
12,15,17,0,4
12,1,1,0,4
12,13,6,0,4
12,11,3,0,4
12,17,9,0,4
12,17,15,0,4
12,14,4,0,4
12,15,1,0,4
12,11,8,0,4
12,19,3,0,4
12,18,1,0,4
12,12,11,0,4
12,17,5,0,4
12,18,13,0,4
12,17,3,0,4
12,15,18,0,4
12,0,7,0,4
12,12,2,0,4
12,10,12,0,4
12,9,19,0,4
12,3,9,0,4
12,0,8,0,4
12,18,12,0,4
12,6,19,0,4
12,0,9,0,4
12,16,15,0,4
12,8,10,0,4
12,4,15,0,4
12,1,8,0,4
12,5,14,0,4
12,14,14,0,4
12,18,18,0,4
12,3,2,0,4
12,2,14,0,4
12,19,18,0,4
12,2,17,0,4
12,1,19,0,4
12,7,2,0,4
12,10,19,0,4
12,4,9,0,4
12,17,16,0,4
12,2,18,0,4
12,19,5,0,4
12,13,8,0,4
12,13,0,0,4
12,16,14,0,4
12,3,12,0,4
12,10,0,0,4
13,12,10,0,0
13,6,0,0,0
13,0,3,0,0
13,12,18,0,0
13,12,19,0,0
13,11,18,0,0
13,16,13,0,0
13,7,17,0,0
13,0,15,0,0
13,16,3,0,0
13,17,0,0,0
13,1,5,0,0
13,8,8,0,0
13,0,2,0,0
13,13,10,0,0
13,5,12,0,0
13,7,9,0,0
13,16,19,0,0
13,13,19,0,0
13,14,7,0,0
13,17,2,0,3
13,11,14,0,3
13,16,10,0,3
13,7,6,0,3
13,8,9,0,3
13,14,17,0,3
13,1,18,0,3
13,10,7,0,3
13,13,11,0,3
13,5,6,0,3
13,14,11,0,3
13,10,6,0,3
13,15,7,0,3
13,6,17,0,3
13,5,4,0,3
13,14,12,0,3
13,0,1,0,4
13,7,16,0,4
13,8,15,0,4
13,6,4,0,4
13,15,17,0,4
13,1,1,0,4
13,13,6,0,4
13,11,3,0,4
13,17,9,0,4
13,17,15,0,4
13,14,4,0,4
13,15,1,0,4
13,11,8,0,4
13,19,3,0,4
13,18,1,0,4
13,12,11,0,4
13,17,5,0,4
13,18,13,0,4
13,17,3,0,4
13,15,18,0,4
13,0,7,0,4
13,12,2,0,4
13,10,12,0,4
13,9,19,0,4
13,3,9,0,4
13,0,8,0,4
13,18,12,0,4
13,6,19,0,4
13,0,9,0,4
13,16,15,0,4
13,8,10,0,4
13,4,15,0,4
13,1,8,0,4
13,5,14,0,4
13,14,14,0,4
13,18,18,0,4
13,3,2,0,4
13,2,14,0,4
13,19,18,0,4
13,2,17,0,4
13,1,19,0,4
13,7,2,0,4
13,10,19,0,4
13,4,9,0,4
13,17,16,0,4
13,2,18,0,4
13,19,5,0,4
13,13,8,0,4
13,13,0,0,4
13,16,14,0,4
13,3,12,0,4
13,10,0,0,4
14,12,10,0,0
14,6,0,0,0
14,0,3,0,0
14,12,18,0,0
14,12,19,0,0
14,11,18,0,0
14,16,13,0,0
14,7,17,0,0
14,0,15,0,0
14,16,3,0,0
14,17,0,0,0
14,1,5,0,0
14,8,8,0,0
14,0,2,0,0
14,13,10,0,0
14,5,12,0,0
14,7,9,0,0
14,16,19,0,0
14,13,19,0,0
14,14,7,0,0
14,17,2,0,3
14,11,14,0,3
14,16,10,0,3
14,7,6,0,3
14,8,9,0,3
14,14,17,0,3
14,1,18,0,3
14,10,7,0,3
14,13,11,0,3
14,5,6,0,3
14,14,11,0,3
14,10,6,0,3
14,15,7,0,3
14,6,17,0,3
14,5,4,0,3
14,14,12,0,3
14,0,1,0,4
14,7,16,0,4
14,8,15,0,4
14,6,4,0,4
14,15,17,0,4
14,1,1,0,4
14,13,6,0,4
14,11,3,0,4
14,17,9,0,4
14,17,15,0,4
14,14,4,0,4
14,15,1,0,4
14,11,8,0,4
14,19,3,0,4
14,18,1,0,4
14,12,11,0,4
14,17,5,0,4
14,18,13,0,4
14,17,3,0,4
14,15,18,0,4
14,0,7,0,4
14,12,2,0,4
14,10,12,0,4
14,9,19,0,4
14,3,9,0,4
14,0,8,0,4
14,18,12,0,4
14,6,19,0,4
14,0,9,0,4
14,16,15,0,4
14,8,10,0,4
14,4,15,0,4
14,1,8,0,4
14,5,14,0,4
14,14,14,0,4
14,18,18,0,4
14,3,2,0,4
14,2,14,0,4
14,19,18,0,4
14,2,17,0,4
14,1,19,0,4
14,7,2,0,4
14,10,19,0,4
14,4,9,0,4
14,17,16,0,4
14,2,18,0,4
14,19,5,0,4
14,13,8,0,4
14,13,0,0,4
14,16,14,0,4
14,3,12,0,4
14,10,0,0,4
15,12,10,0,0
15,6,0,0,0
15,0,3,0,0
15,12,18,0,0
15,12,19,0,0
15,11,18,0,0
15,16,13,0,0
15,7,17,0,0
15,0,15,0,0
15,16,3,0,0
15,17,0,0,0
15,1,5,0,0
15,8,8,0,0
15,0,2,0,0
15,13,10,0,0
15,5,12,0,0
15,7,9,0,0
15,16,19,0,0
15,13,19,0,0
15,14,7,0,0
15,17,2,0,3
15,11,14,0,3
15,16,10,0,3
15,7,6,0,3
15,8,9,0,3
15,14,17,0,3
15,1,18,0,3
15,10,7,0,3
15,13,11,0,3
15,5,6,0,3
15,14,11,0,3
15,10,6,0,3
15,15,7,0,3
15,6,17,0,3
15,5,4,0,3
15,14,12,0,3
15,0,1,0,4
15,7,16,0,4
15,8,15,0,4
15,6,4,0,4
15,15,17,0,4
15,1,1,0,4
15,13,6,0,4
15,11,3,0,4
15,17,9,0,4
15,17,15,0,4
15,14,4,0,4
15,15,1,0,4
15,11,8,0,4
15,19,3,0,4
15,18,1,0,4
15,12,11,0,4
15,17,5,0,4
15,18,13,0,4
15,17,3,0,4
15,15,18,0,4
15,0,7,0,4
15,12,2,0,4
15,10,12,0,4
15,9,19,0,4
15,3,9,0,4
15,0,8,0,4
15,18,12,0,4
15,6,19,0,4
15,0,9,0,4
15,16,15,0,4
15,8,10,0,4
15,4,15,0,4
15,1,8,0,4
15,5,14,0,4
15,14,14,0,4
15,18,18,0,4
15,3,2,0,4
15,2,14,0,4
15,19,18,0,4
15,2,17,0,4
15,1,19,0,4
15,7,2,0,4
15,10,19,0,4
15,4,9,0,4
15,17,16,0,4
15,2,18,0,4
15,19,5,0,4
15,13,8,0,4
15,13,0,0,4
15,16,14,0,4
15,3,12,0,4
15,10,0,0,4
16,12,10,0,0
16,6,0,0,0
16,0,3,0,0
16,12,18,0,0
16,12,19,0,0
16,11,18,0,0
16,16,13,0,0
16,7,17,0,0
16,0,15,0,0
16,16,3,0,0
16,17,0,0,0
16,1,5,0,0
16,8,8,0,0
16,0,2,0,0
16,13,10,0,0
16,5,12,0,0
16,7,9,0,0
16,16,19,0,0
16,13,19,0,0
16,14,7,0,0
16,17,2,0,3
16,11,14,0,3
16,16,10,0,3
16,7,6,0,3
16,8,9,0,3
16,14,17,0,3
16,1,18,0,3
16,10,7,0,3
16,13,11,0,3
16,5,6,0,3
16,14,11,0,3
16,10,6,0,3
16,15,7,0,3
16,6,17,0,3
16,5,4,0,3
16,14,12,0,3
16,0,1,0,4
16,7,16,0,4
16,8,15,0,4
16,6,4,0,4
16,15,17,0,4
16,1,1,0,4
16,13,6,0,4
16,11,3,0,4
16,17,9,0,4
16,17,15,0,4
16,14,4,0,4
16,15,1,0,4
16,11,8,0,4
16,19,3,0,4
16,18,1,0,4
16,12,11,0,4
16,17,5,0,4
16,18,13,0,4
16,17,3,0,4
16,15,18,0,4
16,0,7,0,4
16,12,2,0,4
16,10,12,0,4
16,9,19,0,4
16,3,9,0,4
16,0,8,0,4
16,18,12,0,4
16,6,19,0,4
16,0,9,0,4
16,16,15,0,4
16,8,10,0,4
16,4,15,0,4
16,1,8,0,4
16,5,14,0,4
16,14,14,0,4
16,18,18,0,4
16,3,2,0,4
