tick,agent_id,agent_type,x,y,rank
1,30000167,5,32,0,2
1,30000168,5,34,13,2
1,30000169,5,30,5,2
1,30000170,5,23,17,2
1,30000171,5,37,4,2
1,30000172,5,39,9,2
1,30000173,5,30,7,2
1,30000174,5,38,3,2
1,30000175,5,24,9,2
1,30000176,5,29,3,2
1,30000177,5,38,15,2
1,30000178,5,33,12,2
1,30000179,5,38,5,2
1,30000180,5,24,19,2
1,30000181,5,21,6,2
1,30000182,5,21,13,2
1,30000183,5,38,14,2
1,30000184,5,36,5,2
1,30000185,5,21,0,2
1,30000186,5,20,17,2
1,30000187,5,22,3,2
2,30000088,5,33,1,2
2,30000089,5,36,3,2
2,30000090,5,21,9,2
2,30000091,5,22,13,2
2,30000092,5,39,18,2
2,30000093,5,38,17,2
2,30000094,5,24,15,2
2,30000095,5,25,1,2
2,30000096,5,35,19,2
2,30000097,5,36,12,2
2,30000098,5,39,1,2
2,30000099,5,22,5,2
2,30000100,5,21,12,2
2,30000101,5,20,7,2
2,30000102,5,30,8,2
2,30000103,5,31,16,2
2,30000104,5,37,16,2
2,30000105,5,35,10,2
2,30000106,5,31,15,2
2,30000107,5,29,8,2
2,30000108,5,36,19,2
2,30000109,5,27,12,2
2,30000110,5,20,19,2
2,30000111,5,36,0,2
2,30000112,5,27,17,2
2,30000113,5,32,11,2
2,30000114,5,22,14,2
2,30000115,5,32,3,2
2,30000116,5,29,10,2
2,30000117,5,31,5,2
2,30000118,5,30,2,2
2,30000119,5,31,0,2
2,30000120,5,20,18,2
2,30000121,5,36,13,2
2,30000122,5,29,4,2
2,30000123,5,28,5,2
2,30000124,5,23,9,2
2,30000125,5,30,16,2
2,30000126,5,22,19,2
2,30000127,5,22,18,2
2,30000128,5,32,4,2
2,30000129,5,28,12,2
2,30000130,5,32,7,2
2,30000131,5,27,13,2
2,30000132,5,32,1,2
2,30000133,5,34,9,2
2,30000134,5,36,11,2
2,30000135,5,30,12,2
2,30000136,5,26,17,2
2,30000137,5,34,4,2
2,30000138,5,37,3,2
2,30000139,5,38,7,2
